Country,,,,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya
Market location,,,,,Nairobi,Nairobi,Nairobi,Nairobi,Nairobi,Nairobi,Nairobi,Nairobi,Nairobi,Nairobi,Eldoret,Eldoret,Eldoret,Eldoret,Kisumu,Kisumu,Kisumu,Kisumu,Kitui,Kitui,Kitui,Kitui,Lodwar (Turkana),Marsabit,Mombasa,Mombasa,Mandera,Mandera,Mandera,Mombasa,Nairobi,Wajir,Moyale,Garissa,Garissa,Garissa,Marsabit,Marsabit,Wajir,Wajir,Moyale,Moyale,Turkana,Turkana,Isiolo,Isiolo,Kajiado,Kajiado
Commodity,,,,Exchange rate,White Maize,Beans,Potatoes,Sorghum,Millet,Bread,Cooking Oil,Milk,Gasoline,Diesel,White Maize,Beans,Potatoes,Sorghum,White Maize,Beans,Potatoes,Sorghum,White Maize,Beans,Potatoes,Sorghum,White Maize,White Maize,White Maize,Beans,White Maize,Goat,Cattle,sorghum,Maize flour,Maize,Maize,Goat,Cattle,Maize,Cattle,Goat,Cattle,Goat,Cattle,Goat,Goat,Cattle,Goat,Cattle,Goat,Cattle
Price type,,,,interbank,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Retail,Retail,Retail,Retail,Retail,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,retail,retail,Wholesale,Wholesale,retail,retail,Wholesale,Wholesale,retail,Retail,Retail,Wholesale,Retail,Retail,Retail,Retail,Retail,Retail,Retail,Retail,Retail,Retail,Retail,Retail,Retail,Retail,Retail,Retail,Retail,Retail
Unit,,,,USD/KES,90 kg bag,90 kg bag,90 kg bag,90 kg bag,90 kg bag,,,,1 liter,1 liter,90 kg bag,90 kg bag,90 kg bag,90 kg bag,90 kg bag,90 kg bag,90 kg bag,90 kg bag,kg,kg,90 kg bag,90 kg bag,kg,kg,90 kg bag,90 kg bag,kg,"1 live, mature goat","1 live, mature cow",90 kg bag,2kg packet,kg,kg,head,head,kg,head,head,head,head,head,head,head,head,head,head,head,head
Currency,,,,USD,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES,KES
Jan-00,January,1,2000,0.01412,1424.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1200.00,#N/A,#N/A,#N/A,1308.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1564.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,303.00,2497.00,16.00,4000.00,1174.00,#N/A,#N/A,2450.00,450.58,573.00,5713.00,#N/A,#N/A,#N/A,#N/A
Feb-00,February,2,2000,0.01368,1467.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1114.00,#N/A,#N/A,#N/A,1200.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1444.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,315.00,2370.00,16.00,5400.00,550.00,#N/A,#N/A,2345.75,434.25,551.00,5606.00,#N/A,#N/A,#N/A,#N/A
Mar-00,March,3,2000,0.01346,1392.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1282.00,#N/A,#N/A,#N/A,1341.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1525.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,302.00,2494.00,16.00,5400.00,550.00,#N/A,#N/A,2148.75,537.63,485.00,8612.00,#N/A,#N/A,#N/A,#N/A
Apr-00,April,4,2000,0.01347,1404.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1271.00,#N/A,#N/A,#N/A,1345.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1469.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,300.00,2574.00,18.59,5400.00,700.00,#N/A,#N/A,2608.33,541.53,441.00,3901.00,#N/A,#N/A,#N/A,#N/A
May-00,May,5,2000,0.01319,1496.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1262.00,#N/A,#N/A,#N/A,1545.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1550.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,277.00,2609.00,20.00,8750.00,700.00,#N/A,#N/A,3100.00,475.08,462.00,4850.00,#N/A,#N/A,#N/A,#N/A
